,Bank Balance,Annual Salary,Defaulted?,0,1
0,8754.36,532339.56,0,0,1
1,9806.16,145273.56,0,1,0
2,12882.6,381205.68,0,0,1
3,6351.0,428453.88,0,0,1
4,9427.92,461562.0,0,0,1
5,11035.08,89898.72,0,1,0
6,9906.12,298862.76,0,0,1
7,9704.04,211205.4,0,1,0
8,13932.72,449622.36,0,0,1
9,0.0,351303.24,0,0,1
10,0.0,262452.84,0,1,0
11,14646.96,159222.72,0,1,0
12,2844.6,339020.4,0,0,1
13,7280.88,539934.72,0,0,1
14,13355.64,285722.04,0,0,1
15,3434.76,540508.92,0,0,1
16,0.0,603183.72,0,0,1
17,6330.48,211638.48,0,1,0
18,5831.28,738793.32,0,0,1
19,13140.84,317575.56,0,0,1
20,2747.4,606002.16,0,0,1
21,11451.12,389490.12,0,0,1
22,12671.52,615814.56,0,0,1
23,7703.76,365593.2,0,0,1
24,9278.52,412239.72,0,0,1
25,10260.12,302535.96,0,0,1
26,7716.0,497682.12,0,0,1
27,17458.32,386269.08,0,0,1
28,7388.4,472516.68,0,0,1
29,13434.84,198672.84,0,1,0
30,5937.84,652617.36,0,0,1
31,5386.56,189593.64,0,1,0
32,7018.8,269159.28,0,1,0
33,10963.08,562886.76,0,0,1
34,17087.28,271613.88,0,1,0
35,17996.64,158287.8,0,1,0
36,8304.36,573679.32,0,0,1
37,4217.4,421049.88,0,0,1
38,8911.56,454377.84,0,0,1
39,7837.44,473875.08,0,0,1
40,10465.68,501450.84,0,0,1
41,10047.12,617661.24,0,0,1
42,13819.56,515009.64,0,0,1
43,2646.72,202475.4,0,1,0
44,20282.76,228630.84,0,1,0
45,4905.24,650483.28,0,0,1
46,14863.32,600800.16,0,0,1
47,14739.72,448902.0,0,0,1
48,9851.04,572958.48,0,0,1
49,10289.88,380260.2,0,0,1
50,6763.44,511695.0,0,0,1
51,15395.64,157447.68,0,1,0
52,18069.36,318685.68,0,1,0
53,10848.48,202587.6,0,1,0
54,0.0,599478.96,0,0,1
55,15534.0,125571.84,0,1,0
56,15306.6,190649.64,0,1,0
57,18439.08,585202.92,0,0,1
58,15990.24,469717.68,0,0,1
59,5904.96,400549.08,0,0,1
60,9194.76,557739.48,0,0,1
61,8281.56,761195.76,0,0,1
62,0.0,389778.48,0,0,1
63,17767.92,442393.92,0,0,1
64,11868.72,544131.0,0,0,1
65,15628.08,404345.16,0,0,1
66,12534.6,656361.24,0,0,1
67,0.0,523898.76,0,0,1
68,10392.36,460361.04,0,0,1
69,8289.6,577685.64,0,0,1
70,7173.12,378931.44,0,0,1
71,5153.88,615734.64,0,0,1
72,16777.92,475739.28,0,0,1
73,18936.72,238637.88,0,1,0
74,10284.84,319868.28,0,0,1
75,9029.52,194535.36,0,1,0
76,9296.88,182324.76,0,1,0
77,8740.44,541580.64,0,0,1
78,923.88,340705.08,0,0,1
79,2357.52,496161.48,0,0,1
80,11385.0,171571.44,0,1,0
81,5183.04,472438.56,0,0,1
82,5539.68,554654.52,0,0,1
83,6864.24,396555.72,0,0,1
84,4026.84,615101.28,0,0,1
85,6122.88,724772.64,0,0,1
86,12061.92,288463.8,0,1,0
